sample	10p	10q	11p	11q	12p	12q	13q	14q	15q	16p	16q	17p	17q	18p	18q	19p	19q	1p	1q	20p	20q	21q	22q	2p	2q	3p	3q	4p	4q	5p	5q	6p	6q	7p	7q	8p	8q	9p	9q	Xp	Xq
GENIE-MSK-P-0000057-T01-IM3	0.1157	0.1313	0.0251	-0.1481	-0.224	0.1466	-0.0068	0.1886	-0.0466	0.4555	-0.3434	-0.2504	0.3038	0.1753	-0.2402	-0.3001	-0.3054	-0.1568	0.1374	0.0935	0.0306	-0.2164	-0.312	0.1477	-0.0813	0.1755	0.1755	0.141	-0.0382	0.1948	0.1946	0.0035	-0.2255	0.2343	-0.246	-0.206	0.5123	-0.3291	0.0176	-0.2642	-0.1848
GENIE-MSK-P-0000062-T01-IM3	-0.2039	-0.2545	-0.3578	-0.1396	-0.0753	0.0738	0.0583	0.1604	-0.0658	-0.2648	-0.3236	0.0506	0.1267	0.7245	-0.1833	0.1025	0.2208	-4e-04	-0.0835	0.0947	-0.237	-0.2443	0.3039	0.121	-0.0321	-0.1998	0.3086	-0.206	-0.3306	0.001	-0.4547	-0.1501	-0.2984	0.1463	-0.1283	-0.0685	-0.0685	-0.0148	-0.0616	0.123	-0.0613
GENIE-MSK-P-0000063-T01-IM3	1.004	-0.5256	-0.1187	-0.4573	0.0214	-0.0084	0.2975	-0.5914	-0.0044	-0.0684	-0.0684	0.0141	0.0178	0.4876	-0.6502	-0.0295	-0.0295	-0.0362	0.284	-0.0736	-0.0715	-0.1356	-0.1189	0.2093	-0.5479	0.4197	0.4335	0.1279	-0.4922	0.4957	-0.6768	0.2269	0.2638	0.0102	-0.0816	-0.473	0.1085	-0.1136	-0.0543	-0.1197	-0.1166
GENIE-MSK-P-0000071-T01-IM3	0.09	0.09	0.1589	0.1589	-0.0269	0.1109	0.0103	0.1043	-0.0694	-0.0265	0.0711	-0.0614	-0.0476	-0.068	-0.0437	-0.0482	-0.0482	0.0746	0.0638	0.11	0.0937	-0.0183	0.0934	0.0013	0.0013	0.0672	0.0672	-0.1581	-0.1581	-0.0135	-0.0135	0.2372	0.0545	0.0315	0.0315	0.0615	0.0615	-0.0256	-0.0837	0.0176	0.0176
GENIE-MSK-P-0000082-T01-IM3	0.1388	0.1203	0.0769	0.0769	0.1083	0.1083	-0.3462	-0.1252	-0.3429	-0.2118	-0.2118	-0.3279	0.2933	-0.0957	-0.0957	0.0793	0.0934	-0.0635	0.3523	-0.0737	0.1029	0.4024	-0.1427	0.2282	0.2282	0.0903	-0.1003	0.0442	0.0442	0.0398	0.0398	-0.0285	-0.3051	0.0979	0.0979	-0.0787	0.4272	0.0972	0.0972	0.0543	0.0905
GENIE-MSK-P-0000088-T01-IM3	-0.0712	-0.0666	0.0438	0.0977	-0.152	0.0053	0.0272	-0.1581	-0.1028	-0.0189	0.1113	-0.1436	0.0952	-0.2578	-0.2578	0.0442	-0.1037	-0.0198	-0.0198	-0.167	0.1228	-0.0181	0.0648	-0.0153	-0.0153	-0.0383	-0.0383	-0.174	-0.2572	-0.0135	-0.0135	0.0245	-0.165	-0.0609	-0.0609	-0.2058	0.0073	-0.1208	-0.1208	0.0027	0.0027
GENIE-MSK-P-0000103-T01-IM3	0.164	-0.3146	-0.0482	-0.3115	0.292	0.23	-0.3947	0.1191	-0.0333	-0.3559	-0.3593	-0.3614	-0.0064	-0.0845	-0.2794	-0.058	-0.058	-0.0098	-0.074	0.0886	0.5151	-0.3089	-0.0197	-0.0417	0.0056	-0.0276	-0.0276	-0.3226	-0.3487	0.4792	-0.3447	-0.0346	-0.0167	0.31	0.0033	-0.1358	0.024	0.061	0.061	-0.4711	0.1599
GENIE-MSK-P-0000121-T01-IM3	-0.0758	-0.0758	-0.1552	-0.1552	-5e-04	-5e-04	0.0035	-0.0271	0.0581	0.0623	0.0623	-0.0361	-0.1025	0.0088	5e-04	0.1151	0.1149	0.0194	0.0194	-0.0451	-0.0451	0.0272	0.1155	-0.008	-0.008	-0.0364	-0.0364	-0.2352	-0.2586	-0.0855	-0.0855	0.0074	0.0075	0.0656	0.1	0.0521	0.0521	-0.1037	-0.1037	-0.0484	-0.0124
GENIE-MSK-P-0000165-T01-IM3	-0.2406	-0.2406	-0.0719	-0.0719	-0.0479	-0.0479	0.1161	0.1991	-0.1433	0.0968	-0.0348	0.033	0.0363	0.1567	-0.1404	-0.2047	-0.2047	0.1914	0.1914	0.142	0.2347	0.1628	0.0209	-0.0033	-0.0033	-0.1119	-0.1119	0.0074	0.0074	0.2158	-0.3023	0.1797	0.184	0.1863	0.1169	-0.5134	0.2587	-0.3731	-0.2425	-0.1413	-0.1164
GENIE-MSK-P-0000184-T01-IM3	-0.0313	-0.0313	-0.2657	-0.2657	-0.1158	-0.1158	-0.086	-0.0061	0.138	0.0339	0.2075	-0.1064	0.1408	-0.1053	-0.1081	-0.2304	0.2152	-0.008	0.0191	-0.0624	0.5379	0.0868	0.1812	0.0331	0.0331	-0.1175	0.1768	-0.3033	0.0695	0.0944	0.0944	-0.0651	-0.0651	-0.2919	0.2327	-0.2749	0.2584	0.0346	0.0349	-0.0892	-0.0892
GENIE-MSK-P-0000205-T01-IM3	0.1032	-0.3175	-0.1393	-0.1393	-0.3723	-0.3723	-0.1045	0.3439	-0.1276	0.1066	-0.0685	-0.2772	0.1324	-0.0392	-0.0392	-0.0791	0.2373	-0.0778	0.2834	0.2674	0.2674	-0.0178	0.0209	-0.0662	-0.0662	-0.3006	-0.1605	-0.1276	-0.1276	0.247	-0.1207	0.0588	0.0589	0.2702	0.1339	-0.1647	-0.1647	-0.2631	-0.1113	-0.1311	0.3545
GENIE-MSK-P-0000208-T01-IM3	0.1768	-0.0402	0.0472	0.0472	-0.0193	-0.0193	-0.0295	0.3015	-0.0427	0.0504	-0.0358	-0.2251	0.0454	-0.0167	-0.0167	0.0391	0.0391	-0.0287	0.0017	-0.0159	-0.1457	0.1274	-0.2669	-0.0092	-0.0092	-0.021	-0.043	-0.0118	-0.0118	0.189	0.1861	0.0814	0.0814	0.3446	0.1773	-0.0255	-0.0255	-0.1268	-0.0344	-0.2142	-0.1428
GENIE-MSK-P-0000222-T01-IM3	0.2291	0.0444	0.0325	0.0306	0.0269	0.0048	0.3571	0.0315	-0.069	0.0757	0.2006	0.0185	0.3034	0.0451	0.0451	-0.15	0.4705	0.0138	0.1141	0.1063	0.231	0.0958	-0.1554	-0.027	-0.027	0.0973	0.0973	-0.1349	-0.0606	0.0266	0.0273	0.0581	-0.0521	0.1044	0.0777	-0.1315	0.0215	-0.2414	-0.1401	-0.0493	-0.038
GENIE-MSK-P-0000223-T01-IM3	0.1725	-0.1487	-0.0153	0.5354	0.0613	-0.0567	0.08	0.0093	-0.1027	-0.0899	-0.1199	-0.0045	-0.0679	-0.0642	0.0021	-0.092	-0.09	-0.0072	-0.0599	0.351	0.1044	-0.0615	-0.0523	-0.1142	-0.0881	-0.0338	-0.0509	0.1765	-0.0458	0.0332	0.0174	-0.0977	-0.0301	-0.0411	0.3155	-0.0889	0.4961	-0.5136	-0.0432	-0.2478	-0.3254
GENIE-MSK-P-0000227-T01-IM3	-0.004	-0.004	0.1117	0.0805	-0.0722	-0.0819	-0.064	0.0701	0.1051	0.0073	-0.018	-0.1193	-0.0926	0.0919	0.0919	0.0191	0.0353	-0.0752	-0.0752	-0.0335	-0.0335	0.0055	-0.1014	-0.0413	-0.0413	-0.0476	-0.0191	-0.0152	-0.0152	-0.0075	0.0561	-0.0085	-0.0085	0.0685	0.0807	0.0696	0.0696	-0.0501	-0.0501	-0.0511	-0.0511
GENIE-MSK-P-0000235-T01-IM3	0.0168	0.0615	0.0902	0.0902	0.1427	0.1265	-0.4009	0.1165	0.107	0.1356	0.1356	-0.3259	0.0712	0.0659	0.0659	0.0936	0.0936	0.0468	0.0468	0.039	0.039	0.0709	0.2545	0.084	0.084	-0.3688	0.2669	-0.3455	0.222	0.0675	0.0675	-0.3068	0.0754	0.083	0.083	-0.3652	0.3738	-0.4238	0.1418	-0.0183	-0.0183
GENIE-MSK-P-0000247-T01-IM3	-0.0302	-0.0877	-0.0855	-0.0855	-0.0195	0.0748	-0.0621	-0.0473	-0.0017	0.0063	-0.0177	-0.087	0.1215	-0.0367	-0.0367	-0.1256	-0.0829	-0.0498	0.1883	-0.0704	0.0731	-0.0658	-0.1907	0.0232	0.0232	-0.0062	-0.0062	-0.0478	-0.0478	-0.0502	0.0443	0.0626	0.0829	0.0601	-0.0262	-0.1236	0.2652	-0.0945	-0.0945	-0.0761	-0.0941
